id,Kichwa,Español
1581,RIMARIKUNA, Expresiones- conversaciones 
1582,Rimayachakuy, Seminario 
1583,Rimaykachay, Discurso 
1584,Rimaytaki, Copla 
1585,Rinri, Oreja- oído 
1586,Rinri kuru, Caracol del oído 
1587,Rinrina, Arete 
1588,Ripana, Ir 
1589,RIPANKALLI, boleto o ticket de avion- tren- autobus 
1590,Ritimuna, Energía 
1591,Ritirina kuska, Lugares energéticos 
1592,Ritiwayra, Energía eòlica 
1593,Ritiy, Energía 
1594,Ruka, Dedo 
1595,Ruku, Viejo 
1596,Ruku yaya / ruku tayta, Anciano 
1597,Rukutu uchu, Ají picante 
1598,Rumiyashka, Fósil 
1599,Runa, Ser humano 
1600,Runakak, Ser humano 
1601,Runapachakay, Humanidad 
1602,RUNAPAK AYCHA, EL CUERPO HUMANO  
1603,Runashina, Personaje 
1604,Runayay pacha yuyay, Evolución del hombre 
1605,RUNPAKI, Pelota de futbol 
1606,Ruparishka, Quemadura 
1607,Rupariykuna, Combustión 
1608,Rurakay, Deber hacer- obligacion 
1609,Rurana, Aplicar 
1610,Rurarayana, Ejercitar. 
1611,Rurarayana (W), Ejercitar 
1612,Rurarayay, Ejercitar 
1613,Rurashkayuyay, Antecedente 
1614,Ruray, Función- edificar- construir 
1615,Ruray paktachi, Rol función 
1616,Ruraykatichiy, Programa agenda 
1617,Rurayri ñan, Proceso operativo 
1618,RURUKUNA, FRUTAS 
1619,Ruwana, Poncho 
1620,Río, Mayu 
1621,Sacha, Selva 
1622,Sacha wiwa, Animal silvestre. 
1623,Sachana, Forestar 
1624,Sachayu, Silvestre 
1625,Sakina, Abandonar- dejar 
1626,Sakiriy, Quedarse 
1627,Sakishka, Abandonado- dejado 
1628,Sakma, Bofetada 
1629,Sakmay, Abofetear 
1630,Sakra, brujo 
1631,Sakrachiy, Hacer brujería 
1632,Sakray, Embrujar- hechizar- echar maleficios 
1633,Saksana, Hartar 
1634,Salliy, Azufre 
1635,Samana, Descansar 
1636,Samay, Aliento- respiración 
1637,Samaytu, Aura 
1638,Sami, Variedad- clase 
1639,Saminay, Herencia 
1640,Saminchashka, Bendito 
1641,Saminchay, Bendecir viene de la tradición de la cosecha 
1642,Samiyachiy, Clasificación 
1643,Sanka, Cerco- excavaciòn 
1644,Sanku, Espeso 
1645,Sapalla, Viudo- viuda 
1646,Sapalla nipapurachi, Correspondencia biunívoca 
1647,Sapalla rikcha kutirik, Factor común monomio 
1648,Sapalla shuti, Sustantivo individual 
1649,Sapallu, Sapallo 
1650,Sapan, Cada quien - cada uno 
1651,Sapan kawsaykuna, Racismo 
1652,Sapansami chain, Población Estadística 
1653,Sapansami chani, Población Estadística 
1654,Sapapurachi, Inyectiva 
1655,Sapi, Raiz 
1656,Sapsi, Características 
1657,Sapsi- imakay, Característica 
1658,Sapsikuna, Características 
1659,Sara, Maíz 
1660,Saran, Rendija 
1661,Sarun / kaynapak kayna, Anteayer 
1662,Sasa yuyay, Oración compuesta. 
1663,Sasa yuyay (GT), Oración compuesta 
1664,Sasak, Dificil 
1665,Sasamanta, Dificilmente 
1666,Sasasapa, Dificultad 
1667,Sasi, Noviembre 
1668,SASI killa, Noviembre 
1669,Satina, meter 
1670,Satirishka, metido- metiche 
1671,SAWARINA WARMI, Novia- prometida 
1672,Saylla, Hora 
1673,Sayllachik, Horario 
1674,Sayllachikancha, Husos Horarios 
1675,sayni, Lila 
1676,Saywa, Lindero- límite 
1677,Sayway, limitacion 
1678,Sañukata, Tejado 
1679,Shanu- uki, Cafécolor 
1680,Shayak, Vertical 
1681,Shaykushka, cansado 
1682,Shayri, Tabaco 
1683,Shayriyay, Tabaquismo 
1684,Shañu- kiwi, CaféPlanta 
1685,Shikra, Bolso- cartera 
1686,Shikshi, Comezón 
1687,shimi, boca 
1688,Shimi kamachik, Gramática 
1689,Shimi kara, Labio 
1690,Shimi kiru, Diente 
1691,Shimi millma, Bigote Barba 
1692,Shimiki, Sílaba 
1693,Shimiku, Morfema 
1694,Shimiku yuyay awariy, Morfosintaxis 
1695,Shimikukancha yachay, Morfología 
1696,Shimininakuy, Prometerse mutuamente 
1697,Shiminishka, Promesa 
1698,Shiminiy, Prometer 
1699,Shimisapa, chismoso 
1700,Shimiyari, Relación 
1701,Shimiyuk kamu, Diccionario 
1702,Shina, Ejemplo 
1703,Shina imallichik, Adverbio de modo 
1704,Shinalla- rikchalla, Parecido a 
1705,Shinashinalla, Sencillo 
1706,Shipir, Cuña 
1707,Shiray, Droga 
1708,Shitana, Arrojar- tirar 
1709,Shiwi, Anillo 
1710,SHUK, uno- 1 
1711,Shuk patay paktachani, Ecuación de primer grado 
1712,Shukkuna, Unos 
1713,Shukllamanta nipapurachi, Correspondencia univoca 
1714,Shukllayashka, Unidad 
1715,Shukniki kallari yachay, Primer Nivel 
1716,Shukniki Patayay, Primer Tramo 
1717,Shuknipa yuyay, Oración unimembre 
1718,Shukta charik tantanakuykuna, Potencias dominantes 
1719,Shuktak, otro 
1720,Shuktakkuna, Otros 
1721,Shuktayachik, caso 
1722,Shuktayay, Derivados 
1723,Shukyachina, Fusionar 
1724,Shukyachishka, Unificado grafía 
1725,Shunku, Núcleo- corazón 
1726,Shunku ruka / chawpi ruka, Dedo del corazón- dedo del medio 
1727,Shunku yuyay(W), Idea central 
1728,Shunkuna, Humildad 
1729,Shunkushka, presentimiento 
1730,Shunkuyuk, Humilde 
1731,Shunkuyuyay, Intención 
1732,Shushuna, Filtrar 
1733,Shutikuna, Nomenclatura 
1734,Shutillatak, Verdadero/a 
1735,Shutilli, Adjetivo 
1736,Shutintak, en verdad 
1737,SHUTIPAK RANTIKUNA, PRONOMBRES PERSONALES  
1738,shutipi (llaktapak shutipi), Representación 
1739,Shutiranti, Pronombre 
1740,Shutiy, verdad 
1741,Shuwana, Robar 
1742,Shuyay, esperar 
1743,Shuyu, Imagen- dibujo- gráfico 
1744,Shuyu nikichik, Ordenador gráfico 
1745,Shuyuchik chakata, Rosa de los vientos 
1746,Shuyutupukamachi, Sistema geométrico 
1747,Shuyutupukamay, Geometría 
1748,Shuyutupukamaychi, Sistema geométrico 
1749,Shuyutupumanya, Figura geométrica 
1750,Siki, Nalga 
1751,Siki tullu / siki chupa tullu, Coxis 
1752,Siki utuku, Ano 
1753,Siklla, gentil 
1754,Sinchi, Duro 
1755,Sinchi aycha, Músculo 
1756,Sinchi rumi, Solido 
1757,Sinchi rumpa, Esfera sólida 
1758,Sinchi wiru, Cilindro sólido 
1759,Sinchikay, Resistencia 
1760,Sinchikuy, Esfuerzo 
1761,Sinchiruna, valiente 
1762,Sinchiyachik, Acentuación/ atrevido 
1763,Sinchiyachik unancha, Signo de exclamación 
1764,Sinchiyachiy, Atreverse 
1765,Sinchiyashka, Dureza 
1766,Sinchiyay, Solidificación 
1767,Sinchiyuyana, razon 
1768,Sinchiyuyarishka, Razonado 
1769,Sinka, Nariz 
1770,Sinka utuku, Fosa nasal 
1771,SINKANKU, Elefante 
1772,Sirana, Coser 
1773,Sirik, Horizontal 
1774,Sirina, Acostar 
1775,Sirma, Electricidad 
1776,Sirpa, Traicion 
1777,Sirpak, Traidor 
1778,Sirpashka, traicionado 
1779,Sirpay, Traicionar 
1780,Sisa, Flor 
1781,Siti, Muñeco 
1782,Sitwa, Julio 
1783,SITWA killa, Julio 
1784,Suchu, Paralítico 
1785,SUKTA, seis- 6 
1786,SUKTA CHUNKA, sesenta- 60 
1787,Sukta pakta umiña, Cubo o exaedro 
1788,SUKTA PATSAK, seiscientos- 600 
1789,Suktachishka tiksi umiña, Poliedro hexagonal 
1790,Suktachishka umiña, Poliedro hexagonal. 
1791,Suku, Gris- carrizo 
1792,Sulka-kitilli, Parroquia. 
1793,Sulka-kitilli (W), Parroquia 
1794,Sumak, Bonito- hermoso- bello- rico- excelente 
1795,Sumak Killka, Caligrafía 
1796,Sumak kuska, Zona- lugar turística 
1797,Sumak kuskakamay, Turismo 
1798,Sumak kuskakuna, Lugares turísticos 
1799,Sumak Napaywan, Saludos cordiales 
1800,Sumak rimariy, Literario 
1801,Sumak rimay yachay, Literatura. 
1802,Sumak rimayachak, Literato 
1803,Sumak rimayachay, Literatura 
1804,Sumak rimaysami, Género literario. 
1805,Sumak rimaysami (W), Genero literario 
1806,Sumak yupay, Honra- honor 
1807,Sumakillka, Caligrafía. 
1808,Sumakyachik rimay, Figura literaria 
1809,Sumakyachik yura, Planta ornamental 
1810,Sumakyachina, Respeto- respetuoso 
1811,Sumaychana - muchana, Respetar 
1812,Sumaychay, Respeto 
1813,Suni, Longitud 
1814,Sunikuchu, Ángulo llano o plano 
1815,Sunisuytu, Regla o regleta. 
1816,Sunitupu, Medida de longitud 
1817,Suniwachi, Jabalina 
1818,Suniyachik kuchu, Ángulo suplementario 
1819,Suniyak, Línea 
1820,Sunka-, Barba 
1821,Sunkana- tsunkana, Absorber 
1822,Sunturpawkar, lanza 
1823,Supa- pakpa- karachi, Fibracabuyo 
1824,Surkuy, Sacar 
1825,Suytuyashka kullka, Prisma rectangular 
1826,Suyu, Región 
1827,Suyu rikuchik iñu, Puntos cardinales 
1828,Suyuta rikuchik anta, Brújula 
1829,Taki, Música 
1830,Takina, Cantar 
1831,Takina, Tocar musica 
1832,Takiwayrariy, Aeróbico 
1833,Takzu, Tacso 
1834,Tallpa, camisa 
1835,Talpa, Blusa 
1836,Tampu, Posta 
1837,Tampul, Desorden 
1838,Tampulyachay, Conocimiento desordenado 
1839,Tanapay, Ayudar- favor 
1840,Tantachi unancha, Signo de agrupación. 
1841,Tantachina, Agrupar 
1842,Tantachipakta, Asociativa. 
1843,Tantachishka, Conjunto 
1844,Tantachishka tantariy, Unión de conjuntos 
1845,Tantachishkakunapa kutinchipaktachi, Propiedades de la intersección 
1846,Tantachishkakunapa sami, Clases de conjuntos 
1847,Tantachishkakunata paktachiy, Complementación de conjuntos 
1848,Tantachishkakunata raki, Partición de conjuntos. 
1849,Tantachishkakunata rakiy, Partición de conjuntos de conjuntos 
1850,Tantachishkakunata tukuyyachi, Complementación de conjuntos. 
1851,Tantachishkamanta anchuchi, Diferencia de conjuntos 
1852,Tantachishkapa yapaypaktachikuna, Propiedades de la unión o adición 
1853,Tantachishkata kutinkutinchi, Conjunto potencia. 
1854,Tantachishkata kutinkutinchiy, Conjunto potencia 
1855,Tantachiy, Agrupación- recoger 
1856,Tantachiy rurayri, Unión de conjuntos 
1857,Tantachiy unancha, Signo de agrupación 
1858,Tantachiyachay, Unidad Didáctica 
1859,Tantallalawsay, Reino 
1860,TANTALLI, Panecillo- pan pequeño 
1861,Tantanakuy, Organización 
1862,Tantari yachaypa yupay, Número de la unidad. 
1863,Tantarikillka, Acta. 
1864,Tantariku, Subconjunto 
1865,Tantarimanta killka, Acta 
1866,Tantarinakuy, Asamblea 
1867,Tantariypa niki, Orden del día 
1868,Tapuk shutiranti, Pronombre interrogativo 
1869,Tapuk yuyay, Oración interrogativa 
1870,Tapuy, preguntar 
1871,Tapuykutichina, Entrevistar 
1872,Tapyaruna, Mago 
1873,Tapyay, Embrujar 
1874,Tarina, Encontrar 
1875,Taripana, Examen 
1876,Taripana., Investigar. 
1877,Taripapuk, Juez 
1878,Taripay, averiguar 
1879,Taripayhapi, Descubrir 
1880,Taririklla Paktachik, Complemento Circunstancial 
1881,Tarpuna, Sembrar 
1882,Tarpuy, Sembrar 
1883,Tarpuymirariy, Implementación 
1884,Taruka, Venado 
1885,Taslla, Elegante 
1886,Tatki, Minuto 
1887,Tatki chumpiku, Cinta métrica 
1888,Tatkikutinchi, Múltiplo del metro 
1889,Tatkirakinchi, Submúltiplo del metro 
1890,Tawa, Cuadrado 
1891,Tawakunapa puchu, Diferencia de cuadrados. 
1892,Tawantin, Precisión 
1893,Tawantinsuyu, imperio 
1894,Tawasampa, Corona grande de plumas de guacamayo 
1895,Tawasuyu, Puntos cardinales 
1896,Tawatatki, Metro cuadrado 
1897,Tawayashka kullka, Prisma cuadrangular 
1898,Tawka, mucho- bastante- montón 
1899,Tawka kawsay, Pluricultural 
1900,Tawka kilkanancha kutinchichiy, Factorización de polinomios en general 
1901,Tawka rikcha kutirik, Factor común polinomio. 
1902,Tawri, Chocho 
1903,Tay, Gol 
1904,Terrón, Kurpa 
1905,Thuka, Saliva 
1906,Tierra, Allpa 
1907,Tierra blanca, Yurak allpa 
1908,Tierra estéril, Tsala allpa 
1909,Tierra fértil, Alli allpa 
1910,Tierra negra, Yana allpa 
1911,Tierra roja, Puka allpa 
1912,Tikrak shimiki, Sílaba inversa 
1913,Tikrana, Volver 
1914,Tikratarpuy, Reforestaciòn 
1915,Tikray, Traducir- convertirse 
1916,Tiksi, Base o básico. 
1917,Tiksi yachaykuna, Contenidos básicos 
1918,Tiksi yuyay, Fundamentación. 
1919,Tiksitupu, Unidad de medida fundamental 
1920,Tiksiy, Fundar 
1921,Tiksiyay mutsuykuna, Servicios básicos 
1922,Tinkina, Unir 
1923,Tinkirik yuyay, Oración coordinada 
1924,Tinkuchik, Concordancia 
1925,Titi, Plomo 
1926,Titichaska, Minerales 
1927,Titu, Acrobacia 
1928,Tituyashka, Gimnasia 
1929,Tiya mama, Tía 
1930,Tiyak, Existe 
1931,Tiyak chanikunata paktachik, Balance situacional 
1932,Tiyak yupay, Número natural 
1933,Tiyashkata rikuchik, Balance de comprobación 
1934,Tiyay, Posición 
1935,Tiyu yaya / tiyu tayta, Tío 
1936,Tsawar, Penco 
1937,Tsia, Huevo de parásito- liendra 
1938,Tsiklla, Recto 
1939,Tsiknina, Odiar 
1940,Tsini, Ortiga 
1941,Tsini kuru, Larva 
1942,Tsunka, Sorbete 
1943,Tsunkana, Chupar: 
1944,Tukapu, Prenda de gala de Mujer 
1945,Tuku- putu-, Tronco 
1946,Tukuchina- Puchukana, Consumir 
1947,Tukuchiy, Conclusión 
1948,Tukuna, Disfraz 
1949,Tukuraya, Generalidades 
1950,Tukurik, Finito. 
1951,Tukurik tantachishka, Conjunto finito 
1952,Tukurina, acabar- terminar 
1953,Tukuriy, Fin 
1954,Tukushka, Efecto 
1955,Tukuy Hillaykuna, Aparatos de Medición 
1956,Tukuy shuti, Nombre común 
1957,Tukuy yupaychi, Números reales 
1958,Tukuyllikuna, Generalidades 
1959,Tukuyta shukllayachik, Globalización 
1960,Tukuyyashka yupay, Número entero 
1961,Tukyana, Erupcionar 
1962,Tukyay, Explotar 
1963,Tullillak, Invertebrado 
1964,Tullpu, Color 
1965,TULLPUKUNA, COLORES 
1966,Tullpushka, Teñido 
1967,Tullu, Hueso 
1968,Tullupaki, Fractura 
1969,Tulukancha, Vivero 
1970,Tunkuri, Esófago 
1971,Tupu, Medida 
1972,Tupukamaychi, Sistema de medida 
1973,Tupuna, Medir 
1974,Tupuy, Medida 
1975,Turi, Hermano harmana a hermano 
1976,Turu, Lodo 
1977,Turuwan makiruray pacha, Período Formativo 
1978,Tushuna, Danzar 
1979,tuta, noche 
1980,Tuta suyu, Oeste 
1981,Tutamanta, Madrugada 
1982,Tutamikuy, cenar 
1983,Tutayana, Anochecer 
1984,Tutura, Totora 
1985,Uchilla, Pequeño 
1986,Uchilla killka, Letra minúscula 
1987,Uchilla tatki, Segundo 
1988,Uchillakillka, Minúscula. 
1989,Uchillayachishka yuyay, Resumen. 
1990,Uchillayachishka yuyay (W), Resumen 
1991,Uchu, Ají 
1992,Uka, Oca 
1993,Ukku, Cuerpo humano 
1994,Ukkukara Kuruta, Cutáneo 
1995,Ukkukuyuchik, Extremidad 
1996,Ukkukuyurikancha, Motricidad 
1997,Ukkukuyuykamay, Cultura Física 
1998,Ukkunanchachiy, Expresión corporal 
1999,Ukkupa kuskaritimuna, Chakradel cuerpo humano 
2000,Ukkurupay, Fiebre 
2001,Ukkuskayku, Aparato 
2002,Ukkuyawri, Órgano 
2003,Ukllana, Abrazar 
2004,Ukllay, Abrazar 
2005,uksha, paja 
2006,Uku, Dentro 
2007,Uku kushma, Camiseta 
2008,Ukucha, Ratón 
2009,Ukumari, Oso 
2010,Ukunpuray, Interrelación  
2011,Ukururu, Berro 
2012,Ukuyashka, Cóncavo 
2013,Ulku, Machoanimalesjh 
2014,Ullu, Pene 
2015,uma, cabeza 
2016,Uma ruka, Dedo de la cabeza- anular 
2017,Uma tullu, Cráneo 
2018,Umachi, Engaño 
2019,Umachik, traidor- engañador 
2020,Umachiy, engañar 
2021,Umachuku, visera 
2022,Umamuskuy, fantasia 
2023,Umayarina, Sensopercepción 
2024,Umayuyana, Imaginar 
2025,Umayuyay, Imaginacion 
2026,Umiña, Cubo o exaedro. 
2027,Umiñakunapa yapa-puchu, Suma o diferencia de cubos perfectos. 
2028,Umiñatatki, Metro cúbico 
2029,Umutu, enano 
2030,Unaka, Caramelo 
2031,Unanchashkata pakta rikuchik, sistema de numeración decimal 
2032,Unanchay, Notación 
2033,Unayay, tardar 
2034,Unaypi shamuna pacha, Futuro mediato 
2035,unkuk, enfermo 
2036,Upa, Mudo 
2037,Uphiyana, Beber 
2038,Uray, Abajo 
2039,Uray suyu, Norte 
2040,Uraykuy, Bajar 
2041,Urmana, Caer 
2042,Urna ñutuku, Cerebro 
2043,Urpi, Tórtola 
2044,Uru, Araña 
2045,Usa, Piojo 
2046,Usaysapa kuskakuna, Lugares con poderes 
2047,Ushay- atiy, Poder 
2048,Ushay- Ritimuna, Energía 
2049,Ushaykamakunapash, Poderes 
2050,Ushi, Hija 
2051,Ushina- charina, Adquirir 
2052,Ushu, Burro 
2053,ushuhama, Nieta 
2054,Ushuta, Alpargates 
2055,Utik, loco 
2056,Utikay, locura 
2057,Utka, rapido 
2058,Utkachiy, Abreviar- hacer breve 
2059,Utku, Hueco 
2060,Uyakuy, Obedecer 
2061,Uyana, Oír 
2062,Uyana, Escuchar 
2063,Uyantin, Consonante 
2064,Uyarichay, poner atencion 
2065,Uyarik, Sonido 
2066,Uyarikancha yachay, Fonología 
2067,Uyarikuy, Ruido- bulla 
2068,Uyaywa, Vocal 
2069,Uyaywak, Sonido. 
2070,Uyaywakancha yachay, Fonología. 
2071,Voz, Unanchikrimay 
2072,Wacha, Sábado 
2073,WACHA puncha, Sábado 
2074,Wachana / pakarina, Nacer 
2075,Wachariy / pakariy, Nacimiento 
2076,Wachi, Vector o rayo 
2077,Wachuchiy, Verso 
2078,Waka, Sagrado 
2079,Waka kuskakuna, Lugares sagrados 
2080,Wakana, Llorar 
2081,Wakarapuku, Cuerno musical Instrumento de viento hecho con un cuerno y que sirve a forma de trompeta 
2082,Wakayachina, Conservar 
2083,Wakaychina, Guardar 
2084,Wakcha, Pobre 
2085,Wakchi, flecha- lanza- saeta- dardo 
2086,Waki, Sociedad 
2087,Waki kawsaymantawankuri, Organización Socio cultural 
2088,Wakichina, Preservar 
2089,Wakikamay, Sociología 
2090,Wakimpi, Alguna vez 
2091,Wakin, Alguno 
2092,Wakiy, Compartir 
2093,Waklishka, Dañado- podrido 
2094,Waklli, Crisis 
2095,Wakllichik, Deterioro 
2096,Wakllichina, agravio- danar 
2097,Wakra, Ganado 
2098,Waksa, Lagartija 
2099,Waksi, Gas 
2100,Waksisapa, Gaseoso 
2101,Waktana, Golpe 
2102,Waktanakuy, Luchar 
2103,Walaku, Rana comestible 
2104,Walinyana, Balancear 
2105,Wallinku, Conejo 
2106,Wallka, Collar 
2107,Wallpa, Forma- formación 
2108,Wallpachi yuyay, Teoría creacionista 
2109,Wallpana, Crear- inventar 
2110,Wallpari, Invento- creación 
2111,Wallpay, Estructura 
2112,Wallpaykamay, Filosofía 
2113,Walpana, Crear- inventar 
2114,Waltaku, Pantalón de tela 
2115,Waman, Gavilán 
2116,Wamintsi, Rosado 
2117,Wampra, Joven- adolescente varón 
2118,Wampuk, Barco- lancha 
2119,Wampuk rikutirikancha, Puerto marítimo 
2120,WAMPULLI, Bote- canoa- velero- barca pequeña 
2121,Wampuna, Nadar 
2122,Wampuy, Natación 
2123,Wampuypi shuwakkuna, Piratas- corsario 
2124,Wamra, Púber 
2125,Wanachiy, Castigar 
2126,Wanchiy, Matar 
2127,Wankuri, Organización 
2128,Wantu, Floripondio 
2129,Wanu, Fertilizante natural 
2130,Wanyari, Evaporación 
2131,Wara, Pantalón de lana 
2132,Warakay, Lanzamiento 
2133,WARANKA, mil- 1000 
2134,Waranka piti, Tanto por mil. 
2135,Warankakri, Milésimo. 
2136,Warankaku, Kilogramo 
2137,Warankawataychi, Milenio 
2138,Waricha/Pampawarmi, prostituta 
2139,Warichakay, Prostitucion 
2140,Warichariy, Locura 
2141,Warmi, Mujer- esposa 
2142,Warmi wara, Blusa 
2143,Warmipurakuyay, Lesbianismo 
2144,Warunruk- chachu, Astro 
2145,Washa, Espalda 
2146,Washa tullu, Columna vertebral- espinazo 
2147,Washa tullu ñutuku, Médula espinal 
2148,Washa ñutuku, Cerebelo 
2149,Washarimay, Murmuración- crítica 
2150,Washatarimay, Murmurar 
2151,wasi, Casa 
2152,Wasi allpa rantimanta, Bienes y raíces 
2153,Wasiruraykamay, Arquitectura 
2154,Waska, Soga 
2155,Waskariklla, Ritmo 
2156,Wasra, Vino 
2157,Wata, Año 
2158,Watapacha, Calendario 
2159,Watay wasi, Prisión 
2160,Watayuk, Edad 
2161,Watu, Cadena 
2162,Watuchina- imashi, Adivinar 
2163,Wawa, Niño 
2164,Wawa chumpi, Faja-delgada 
2165,Wawa kullki kamachik, Regla de interés simple. 
2166,Wawa mama, Placenta 
2167,Wawa ruka, Dedo meñique 
2168,Wawakay, Niñez 
2169,Wawakullki, Interés. 
2170,Wawchiy, Influencia 
2171,Wawki, Hermano entre hermanos 
2172,Wawkikay, hermandad entre hombres 
2173,Wayay, Oxígeno 
2174,Waychi, Plomo 
2175,Wayku, Quebrada- barranco 
2176,Waykuhaskancha, Relieve 
2177,Waykukaskancha, Relieve 
2178,Waylla, Verde 
2179,Wayllamkay, Obrajes 
2180,waylluy, ternura 
2181,Wayna, Joven- amante. 
2182,Wayra, aire- viento 
2183,Wayrakata- wayramaytu, Atmósfera 
2184,Wayrayay, Volatilidad 
2185,Wayru, Octubre 
2186,WAYRU killa, Octubre 
2187,Wayta, Clavel 
2188,Wañuna, Morir 
2189,Wañuy, Muerte 
2190,Wañuykamachiy, Ley de inquisición 
2191,Wichay, Subida- cuesta 
2192,Wichay suyu, Sur 
2193,Wichayana, Ascender 
2194,Wichisuni, Alto 
2195,Wichkachik, Paréntesis 
2196,Wichkak chupa, Comilla. 
2197,Wichkak chupa(W), Comilla 
2198,Wichkashka, Encerrado 
2199,Wika, Escremento 
2200,Wikar, Cintura 
2201,Wiki, Lágrima 
2202,Wikka mayu, Sumo saserdote-.Shyry 
2203,Wiksa, Barriga- vientre 
2204,Wikuriy, Flexibilidad 
2205,Wilka, Ritos 
2206,Wilkana, Rito 
2207,Wilkana- muchana, Adorar- venerar 
2208,Wilkay, Sagrado 
2209,Willachik, Noticia 
2210,Willak hillay, Medio de comunicación 
2211,Willak pirka(W), Periódico mural 
2212,Willak yuyay, Oración enunciativa 
2213,Willakpirka, Periódico mural. 
2214,Willana, Avisar- informar 
2215,Willayhillay, Medio de Comunicación. 
2216,Willaykancha, Medios de comunicación 
2217,Williku, Espermatozoide 
2218,Wilyay- lumyay, Llamarada 
2219,Winkuchikkuna, Paréntesis. 
2220,Winkuk, Llaves. 
2221,Wirakucha, Rubicundo- pelirojo- rubio 
2222,WISIYAY, Crema 
2223,Wisnu, Materia 
2224,Wisya, Crema 
2225,Witikwitik, Tambalear 
2226,Witsyayay, Subirse 
2227,Wiwakamay, Ganadería 
2228,WIWAKUNA, ANIMALES 
2229,Wiwika, Oveja 
2230,Wiwika- Llama, Oveja 
2231,Wiña, generación 
2232,Wiñachina, Criar 
2233,Wiñachishka shimi, Neologismo 
2234,Wiñakukllachak (K), Almácigos 
2235,Wiñana, Crecer 
2236,Wiñari, Desarrollo 
2237,Wiñarikpukyu, Fuente- vertiente 
2238,Wiñarina, Desarrollar 
2239,Wiñay, Siempre 
2240,Wiñay kawsay kallaripi rurayta kamay, Arqueología 
2241,Wiñay kawsaykallaripi ruraytakamay, Arqueología 
2242,Wiñaykawsay, Historia 
2243,Wiñaykawsay imakuna, Hechos históricos 
2244,Wiñaykawsay kallariy, Prehistoria 
2245,Wiñaykaysay kallari, Inicio de la historia prehistoria 
2246,Yachakuna, Aprender 
2247,Yachana, Saber 
2248,YACHANA WASI, Escuela 
2249,Yachapayay, Dramatización.  
2250,Yachapayay (W), Dramatización 
2251,Yachariy, Estar acostumbrado 
2252,Yachay, Ciencia- educación 
2253,Yachay pampa, Area. 
2254,Yachay ñan, Proceso metodológico 
2255,Yachayay, enterarse 
2256,Yachaykamachik, Ley de Educación 
2257,Yachaykancha, Área 
2258,Yachaykuna, Sabiduría 
2259,Yachaypa hillay, Material didáctico 
2260,Yachaypak hillay, Recurso didáctico 
2261,Yachayruray, Práctica 
2262,Yachayshuti, Título 
2263,Yachayta taripana, Dominio del conocimiento. 
2264,Yachayta taripay, Dominio del conocimiento 
2265,Yachayta wallpay, Creación del conocimiento 
2266,Yachayta willana, Socialización del conocimiento 
2267,Yachayta wiñachiy, Creación del conocimiento. 
2268,Yachaywa, Tema. 
2269,Yachaywa (W), Tema 
2270,Yachaywan rurana, Aplicación del conocimiento 
2271,Yachayyuyay, Teoría 
2272,Yachayñan, Metodología 
2273,Yaksina, Fundir 
2274,Yaksishka, Fundido 
2275,Yaku, Agua 
2276,Yaku ishpa, Orina 
2277,Yaku larka, Canal de riego 
2278,Yaku shunku, Hígado 
2279,Yakuhampik Chuyayachik Yachuchik, Cloración del agua 
2280,Yakukamay, Hidrografía 
2281,Yakumuyuyallpa, Isla tierra rodeade de agua 
2282,Yakushushuy, Decantación 
2283,Yakuyachik, Disolvente 
2284,Yakuyachina, Disolver 
2285,Yakuyachiy, derretir 
2286,Yakuyakkuri, Golfo 
2287,Yakuyashka, Líquido 
2288,Yakwallpa, Anfibios 
2289,Yalli paktachik, Complemento Directo. 
2290,Yalli paktachik YP, Complemento Directo 
2291,Yallichawpiyak, Moda 
2292,Yallilutsayak, Proporción geométrica o directa 
2293,Yallimanya, Cateto mayor. 
2294,Yallishka, Mayor que 
2295,Yallishka pacha, Tiempo pasado 
2296,Yalliyak pakiyupay, Fracción inpropia 
2297,Yana sara, Maíz negro 
2298,Yana shunku, Riñón 
2299,Yana yana, Negro intenso 
2300,Yanakuna, servidumbre 
2301,Yanantina- kutuna- hatun hallmana, Aporcar 
2302,Yanapak wasi, Agencia de desarrollo 
2303,Yanapak wasikuna, Instituciones 
2304,Yanapana, Ayudar 
2305,Yanapanka, servicio 
2306,Yanapay, Servicio- Servir 
2307,Yanapayana, Solidarizar 
2308,Yanapayaymanta, Solidadaridad 
2309,Yankakapak, Politiquero 
2310,Yankakichuna, Invadir 
2311,Yankakichuy, Invasión 
2312,Yankichik, Agentes 
2313,Yankina, Modificar 
2314,Yankina- Shukmanyachina, Cambiar 
2315,Yankinachik, Agente modificador 
2316,Yankiy, Cambio 
2317,Yanuna, Cocinar 
2318,Yanuna uku, Cocina 
2319,Yapa tantachiy, Conjunto unión 
2320,Yapakullki, Monto 
2321,Yapakullkina, Usura 
2322,Yapakutinchiklla, Frecuencia acumulada 
2323,Yapalutsay, Proporcionalidad directa 
2324,Yaparikkuna, Sumandos 
2325,Yapatantachi, Unión de conjuntos. 
2326,Yapuk, Arador 
2327,Yari, Sentido 
2328,Yariyachina, 2Percibir 
2329,Yarkay, hambre 
2330,Yawar, Sangre 
2331,Yawar ayllunikiyashka, Grados de consanguinidad 
2332,Yawar Muyuri, Circulación de sangre 
2333,Yawarchakruri, Mestizaje 
2334,Yawarmuyuriy, Circulatorio sanguíneo 
2335,YAWARPURIY, Presión Arterial 
2336,Yawati, Tortuga 
