,Kichwa,Spanish
1855,tantachiy rurayri,unión de conjuntos
1856,tantachiy unancha,signo de agrupación
1857,tantachiyachay,unidad didáctica
1858,tantallalawsay,reino
1859,tantalli,"panecillo, pan pequeño"
1860,tantanakuy,organización
1861,tantari yachaypa yupay,número de la unidad.
1862,tantarikillka,acta.
1863,tantariku,subconjunto
1864,tantarimanta killka,acta
1865,tantarinakuy,asamblea
1866,tantariypa niki,orden del día
1867,tapuk shutiranti,pronombre interrogativo
1868,tapuk yuyay,oración interrogativa
1869,tapuy,preguntar
1870,tapuykutichina,entrevistar
1871,tapyaruna,mago
1872,tapyay,embrujar
1873,tarina,encontrar
1874,taripana,examen
1875,taripana.,investigar.
1876,taripapuk,juez
1877,taripay,averiguar
1878,taripayhapi,descubrir
1879,taririklla paktachik,complemento circunstancial
1880,tarpuna,sembrar
1881,tarpuy,sembrar
1882,tarpuymirariy,implementación
1883,taruka,venado
1884,taslla,elegante
1885,tatki,minuto
1886,tatki chumpiku,cinta métrica
1887,tatkikutinchi,múltiplo del metro
1888,tatkirakinchi,submúltiplo del metro
1889,tawa,cuadrado
1890,tawakunapa puchu,diferencia de cuadrados.
1891,tawantin,precisión
1892,tawantinsuyu,imperio
1893,tawasampa,corona grande de plumas de guacamayo
1894,tawasuyu,puntos cardinales
1895,tawatatki,metro cuadrado
1896,tawayashka kullka,prisma cuadrangular
1897,tawka,"mucho, bastante, montón"
1898,tawka kawsay,pluricultural
1899,tawka kilkanancha kutinchichiy,factorización de polinomios en general
1900,tawka rikcha kutirik,factor común polinomio.
1901,tawri,chocho
1902,tay,gol
1903,terrón,kurpa
1904,thuka,saliva
1905,tierra,allpa
1906,tierra blanca,yurak allpa
1907,tierra estéril,tsala allpa
1908,tierra fértil,alli allpa
1909,tierra negra,yana allpa
1910,tierra roja,puka allpa
1911,tikrak shimiki,sílaba inversa
1912,tikrana,volver
1913,tikratarpuy,reforestaciòn
1914,tikray,"traducir, convertirse"
1915,tiksi,base o básico.
1916,tiksi yachaykuna,contenidos básicos
1917,tiksi yuyay,fundamentación.
1918,tiksitupu,unidad de medida (fundamental
1919,tiksiy,fundar
1920,tiksiyay mutsuykuna,servicios básicos
1921,tinkina,unir
1922,tinkirik yuyay,oración coordinada
1923,tinkuchik,concordancia
1924,titi,plomo
1925,titichaska,minerales
1926,titu,acrobacia
1927,tituyashka,gimnasia
1928,tiya mama,tía
1929,tiyak,existe
1930,tiyak chanikunata paktachik,balance situacional
1931,tiyak yupay,número natural
1932,tiyashkata rikuchik,balance de comprobación
1933,tiyay,posición
1934,tiyu yaya / tiyu tayta,tío
1935,tsawar,penco
1936,tsia,"huevo de parásito, liendra"
1937,tsiklla,recto
1938,tsiknina,odiar
1939,tsini,ortiga
1940,tsini kuru,larva
1941,tsunka,sorbete
1942,tsunkana,chupar:
1943,tukapu,prenda de gala de mujer
1944,"tuku, putu,",tronco
1945,"tukuchina, puchukana",consumir
1946,tukuchiy,conclusión
1947,tukuna,disfraz
1948,tukuraya,generalidades
1949,tukurik,finito.
1950,tukurik tantachishka,conjunto finito
1951,tukurina,"acabar, terminar"
1952,tukuriy,fin
1953,tukushka,efecto
1954,tukuy hillaykuna,aparatos de medición
1955,tukuy shuti,nombre común
1956,tukuy yupaychi,números reales
1957,tukuyllikuna,generalidades
1958,tukuyta shukllayachik,globalización
1959,tukuyyashka yupay,número entero
1960,tukyana,erupcionar
1961,tukyay,explotar
1962,tullillak,invertebrado
1963,tullpu,color
1964,tullpukuna,colores
1965,tullpushka,teñido
1966,tullu,hueso
1967,tullupaki,fractura
1968,tulukancha,vivero
1969,tunkuri,esófago
1970,tupu,medida
1971,tupukamaychi,sistema de medida
1972,tupuna,medir
1973,tupuy,medida
1974,turi,hermano (harmana a hermano
1975,turu,lodo
1976,turuwan makiruray pacha,período formativo
1977,tushuna,danzar
1978,tuta,noche
1979,tuta suyu,oeste
1980,tutamanta,madrugada
1981,tutamikuy,cenar
1982,tutayana,anochecer
1983,tutura,totora
1984,uchilla,pequeño
1985,uchilla killka,letra minúscula
1986,uchilla tatki,segundo
1987,uchillakillka,minúscula.
1988,uchillayachishka yuyay,resumen.
1989,uchillayachishka yuyay (w),resumen
1990,uchu,ají
1991,uka,oca
1992,ukku,cuerpo humano
1993,ukkukara kuruta,cutáneo
1994,ukkukuyuchik,extremidad
1995,ukkukuyurikancha,motricidad
1996,ukkukuyuykamay,cultura física
1997,ukkunanchachiy,expresión corporal
1998,ukkupa kuskaritimuna,chakra)del cuerpo humano
1999,ukkurupay,fiebre
2000,ukkuskayku,aparato
2001,ukkuyawri,órgano
2002,ukllana,abrazar
2003,ukllay,abrazar
2004,uksha,paja
2005,uku,dentro
2006,uku kushma,camiseta
2007,ukucha,ratón
2008,ukumari,oso
2009,ukunpuray,interrelación
2010,ukururu,berro
2011,ukuyashka,cóncavo
2012,ulku,macho(animales)jh
2013,ullu,pene
2014,uma,cabeza
2015,uma ruka,"dedo de la cabeza, anular"
2016,uma tullu,cráneo
2017,umachi,engaño
2018,umachik,"traidor, engañador"
2019,umachiy,engañar
2020,umachuku,visera
2021,umamuskuy,fantasia
2022,umayarina,sensopercepción
2023,umayuyana,imaginar
2024,umayuyay,imaginacion
2025,umiña,cubo o exaedro.
2026,umiñakunapa yapa-puchu,suma o diferencia de cubos perfectos.
2027,umiñatatki,metro cúbico
2028,umutu,enano
2029,unaka,caramelo
2030,unanchashkata pakta rikuchik,sistema de numeración decimal
2031,unanchay,notación
2032,unayay,tardar
2033,unaypi shamuna pacha,futuro mediato
2034,unkuk,enfermo
2035,upa,mudo
2036,uphiyana,beber
2037,uray,abajo
2038,uray suyu,norte
2039,uraykuy,bajar
2040,urmana,caer
2041,urna ñutuku,cerebro
2042,urpi,tórtola
2043,uru,araña
2044,usa,piojo
2045,usaysapa kuskakuna,lugares con poderes
2046,"ushay, atiy",poder
2047,"ushay, ritimuna",energía
2048,ushaykamakunapash,poderes
2049,ushi,hija
2050,"ushina, charina",adquirir
2051,ushu,burro
2052,ushuhama,nieta
2053,ushuta,alpargates
2054,utik,loco
2055,utikay,locura
2056,utka,rapido
2057,utkachiy,"abreviar, hacer breve"
2058,utku,hueco
2059,uyakuy,obedecer
2060,uyana,oír
2061,uyana,escuchar
2062,uyantin,consonante
2063,uyarichay,poner atencion
2064,uyarik,sonido
2065,uyarikancha yachay,fonología
2066,uyarikuy,"ruido, bulla"
2067,uyaywa,vocal
2068,uyaywak,sonido.
2069,uyaywakancha yachay,fonología.
2070,voz,unanchikrimay
2071,wacha,sábado
2072,wacha puncha,sábado
2073,wachana / pakarina,nacer
2074,wachariy / pakariy,nacimiento
2075,wachi,vector o rayo
2076,wachuchiy,verso
2077,waka,sagrado
2078,waka kuskakuna,lugares sagrados
2079,wakana,llorar
2080,wakarapuku,cuerno musical) instrumento de viento hecho con un cuerno y que sirve a forma de trompeta
2081,wakayachina,conservar
2082,wakaychina,guardar
2083,wakcha,pobre
2084,wakchi,"flecha, lanza, saeta, dardo"
2085,waki,sociedad
2086,waki kawsaymantawankuri,organización socio cultural
2087,wakichina,preservar
2088,wakikamay,sociología
2089,wakimpi,alguna vez
2090,wakin,alguno
2091,wakiy,compartir
2092,waklishka,"dañado, podrido"
2093,waklli,crisis
2094,wakllichik,deterioro
2095,wakllichina,"agravio, danar"
2096,wakra,ganado
2097,waksa,lagartija
2098,waksi,gas
2099,waksisapa,gaseoso
2100,waktana,golpe
2101,waktanakuy,luchar
2102,walaku,rana comestible
2103,walinyana,balancear
2104,wallinku,conejo
2105,wallka,collar
2106,wallpa,"forma, formación"
2107,wallpachi yuyay,teoría creacionista
2108,wallpana,"crear, inventar"
2109,wallpari,"invento, creación"
2110,wallpay,estructura
2111,wallpaykamay,filosofía
2112,walpana,"crear, inventar"
2113,waltaku,pantalón de tela
2114,waman,gavilán
2115,wamintsi,rosado
2116,wampra,"joven, adolescente (varón"
2117,wampuk,"barco, lancha"
2118,wampuk rikutirikancha,puerto marítimo
2119,wampulli,"bote, canoa, velero, barca pequeña"
2120,wampuna,nadar
2121,wampuy,natación
2122,wampuypi shuwakkuna,"piratas, corsario"
2123,wamra,púber
2124,wanachiy,castigar
2125,wanchiy,matar
2126,wankuri,organización
2127,wantu,floripondio
2128,wanu,fertilizante natural
2129,wanyari,evaporación
2130,wara,pantalón de lana
2131,warakay,lanzamiento
2132,waranka,"mil, 1000"
2133,waranka piti,tanto por mil.
2134,warankakri,milésimo.
2135,warankaku,kilogramo
2136,warankawataychi,milenio
2137,waricha/pampawarmi,prostituta
2138,warichakay,prostitucion
2139,warichariy,locura
2140,warmi,"mujer, esposa"
2141,warmi wara,blusa
2142,warmipurakuyay,lesbianismo
2143,"warunruk, chachu",astro
2144,washa,espalda
2145,washa tullu,"columna vertebral, espinazo"
2146,washa tullu ñutuku,médula espinal
2147,washa ñutuku,cerebelo
2148,washarimay,"murmuración, crítica"
2149,washatarimay,murmurar
2150,wasi,casa
2151,wasi allpa rantimanta,bienes y raíces
2152,wasiruraykamay,arquitectura
2153,waska,soga
2154,waskariklla,ritmo
2155,wasra,vino
2156,wata,año
2157,watapacha,calendario
2158,watay wasi,prisión
2159,watayuk,edad
2160,watu,cadena
2161,"watuchina, imashi",adivinar
2162,wawa,niño
2163,wawa chumpi,faja-delgada
2164,wawa kullki kamachik,regla de interés simple.
2165,wawa mama,placenta
2166,wawa ruka,dedo meñique
2167,wawakay,niñez
2168,wawakullki,interés.
2169,wawchiy,influencia
2170,wawki,hermano (entre hermanos
2171,wawkikay,hermandad entre hombres
2172,wayay,oxígeno
2173,waychi,plomo
2174,wayku,"quebrada, barranco"
2175,waykuhaskancha,relieve
2176,waykukaskancha,relieve
2177,waylla,verde
2178,wayllamkay,obrajes
2179,waylluy,ternura
2180,wayna,"joven, amante."
2181,wayra,"aire, viento"
2182,"wayrakata, wayramaytu",atmósfera
2183,wayrayay,volatilidad
2184,wayru,octubre
2185,wayru killa,octubre
2186,wayta,clavel
2187,wañuna,morir
2188,wañuy,muerte
2189,wañuykamachiy,ley de inquisición
2190,wichay,"subida, cuesta"
2191,wichay suyu,sur
2192,wichayana,ascender
2193,wichisuni,alto
2194,wichkachik,paréntesis
2195,wichkak chupa,comilla.
2196,wichkak chupa(w),comilla
2197,wichkashka,encerrado
2198,wika,escremento
2199,wikar,cintura
2200,wiki,lágrima
2201,wikka mayu,"sumo saserdote,.shyry"
2202,wiksa,"barriga, vientre"
2203,wikuriy,flexibilidad
2204,wilka,ritos
2205,wilkana,rito
2206,"wilkana, muchana","adorar, venerar"
2207,wilkay,sagrado
2208,willachik,noticia
2209,willak hillay,medio de comunicación
2210,willak pirka(w),periódico mural
2211,willak yuyay,oración enunciativa
2212,willakpirka,periódico mural.
2213,willana,"avisar, informar"
2214,willayhillay,medio de comunicación.
2215,willaykancha,medios de comunicación
2216,williku,espermatozoide
2217,"wilyay, lumyay",llamarada
2218,winkuchikkuna,paréntesis.
2219,winkuk,llaves.
2220,wirakucha,"rubicundo, pelirojo, rubio"
2221,wisiyay,crema
2222,wisnu,materia
2223,wisya,crema
2224,witikwitik,tambalear
2225,witsyayay,subirse
2226,wiwakamay,ganadería
2227,wiwakuna,animales
2228,wiwika,oveja
2229,"wiwika, llama",oveja
2230,wiña,generación
2231,wiñachina,criar
2232,wiñachishka shimi,neologismo
2233,wiñakukllachak (k),almácigos
2234,wiñana,crecer
2235,wiñari,desarrollo
2236,wiñarikpukyu,"fuente, vertiente"
2237,wiñarina,desarrollar
2238,wiñay,siempre
2239,wiñay kawsay kallaripi rurayta kamay,arqueología
2240,wiñay kawsaykallaripi ruraytakamay,arqueología
2241,wiñaykawsay,historia
2242,wiñaykawsay imakuna,hechos históricos
2243,wiñaykawsay kallariy,prehistoria
2244,wiñaykaysay kallari,inicio de la historia (prehistoria
2245,yachakuna,aprender
2246,yachana,saber
2247,yachana wasi,escuela
2248,yachapayay,dramatización.
2249,yachapayay (w),dramatización
2250,yachariy,estar acostumbrado
2251,yachay,"ciencia, educación"
2252,yachay pampa,area.
2253,yachay ñan,proceso metodológico
2254,yachayay,enterarse
2255,yachaykamachik,ley de educación
2256,yachaykancha,área
2257,yachaykuna,sabiduría
2258,yachaypa hillay,material didáctico
2259,yachaypak hillay,recurso didáctico
2260,yachayruray,práctica
2261,yachayshuti,título
2262,yachayta taripana,dominio del conocimiento.
2263,yachayta taripay,dominio del conocimiento
2264,yachayta wallpay,creación del conocimiento
2265,yachayta willana,socialización del conocimiento
2266,yachayta wiñachiy,creación del conocimiento.
2267,yachaywa,tema.
2268,yachaywa (w),tema
2269,yachaywan rurana,aplicación del conocimiento
2270,yachayyuyay,teoría
2271,yachayñan,metodología
2272,yaksina,fundir
2273,yaksishka,fundido
2274,yaku,agua
2275,yaku ishpa,orina
2276,yaku larka,canal de riego
2277,yaku shunku,hígado
2278,yakuhampik chuyayachik yachuchik,cloración del agua
2279,yakukamay,hidrografía
2280,yakumuyuyallpa,isla (tierra rodeade de agua
2281,yakushushuy,decantación
2282,yakuyachik,disolvente
2283,yakuyachina,disolver
2284,yakuyachiy,derretir
2285,yakuyakkuri,golfo
2286,yakuyashka,líquido
2287,yakwallpa,anfibios
2288,yalli paktachik,complemento directo.
2289,yalli paktachik yp,complemento directo
2290,yallichawpiyak,moda
2291,yallilutsayak,proporción geométrica o directa
2292,yallimanya,cateto mayor.
2293,yallishka,mayor que
2294,yallishka pacha,tiempo pasado
2295,yalliyak pakiyupay,fracción inpropia
2296,yana sara,maíz negro
2297,yana shunku,riñón
2298,yana yana,negro intenso
2299,yanakuna,servidumbre
2300,"yanantina, kutuna, hatun hallmana",aporcar
2301,yanapak wasi,agencia de desarrollo
2302,yanapak wasikuna,instituciones
2303,yanapana,ayudar
2304,yanapanka,servicio
2305,yanapay,"servicio, servir"
2306,yanapayana,solidarizar
2307,yanapayaymanta,solidadaridad
2308,yankakapak,politiquero
2309,yankakichuna,invadir
2310,yankakichuy,invasión
2311,yankichik,agentes
2312,yankina,modificar
2313,"yankina, shukmanyachina",cambiar
2314,yankinachik,agente modificador
2315,yankiy,cambio
2316,yanuna,cocinar
2317,yanuna uku,cocina
2318,yapa tantachiy,conjunto unión
2319,yapakullki,monto
2320,yapakullkina,usura
2321,yapakutinchiklla,frecuencia acumulada
2322,yapalutsay,proporcionalidad directa
2323,yaparikkuna,sumandos
2324,yapatantachi,unión de conjuntos.
2325,yapuk,arador
2326,yari,sentido
2327,yariyachina,2percibir
2328,yarkay,hambre
2329,yawar,sangre
2330,yawar ayllunikiyashka,grados de consanguinidad
2331,yawar muyuri,circulación de sangre
2332,yawarchakruri,mestizaje
2333,yawarmuyuriy,circulatorio sanguíneo
2334,yawarpuriy,presión arterial
2335,yawati,tortuga
2336,yawatisuyu,región insular galápagos
2337,yawri,aguja
2338,yaya,padre
2339,yaya / tayta,"papá, padre"
2340,"yaykuchiy, satiy",introducción (física
2341,yaykuna,entrar
2342,"yukuna, yumana",aparear
2343,yuma,semen
2344,yumariy,unirse sexualmente
2345,yumay,semen
2346,yupachay,cortesía
2347,yupachi,conteo
2348,yupana,contar
2349,yupay chani,valor absoluto o numérico
2350,yupaychana,agradecer
2351,yupaychani,gracias
2352,yupaykamay,matemática
2353,yupaykamay hillaykuna,materiales didácticos de la matemática
2354,yupaykamaychi,sistema numérico
2355,yupaykamaychi yuyay,pensamiento lógico matemático
2356,yupaykamayuk,matemático
2357,yupaykuna,los números
2358,yupaykuska,recta numérica
2359,yupaylli,cuenta bancaria
2360,yupaymillka,esquema numérico
2361,yupaynikichik,calculadora
2362,yupaypurachi,razón
2363,yupayrurayri,operación numérica o aritmética
2364,yura,planta
2365,yurak,blanco
2366,yurak sara,maíz blanco
2367,yurak shunku,pulmón
2368,yurakamak,forestal
2369,yurakuna,plantas
2370,yutay,influencia
2371,yuyakillkalla,carta
2372,yuyakyashka,vejez
2373,yuyana,pensar
2374,yuyarikkuna,reflexiones
2375,yuyarina,reflexionar
2376,yuyasha,cautela
2377,yuyay,pensamieto
2378,yuyay awariy,sintaxis
2379,yuyay kaspi,línea imaginaria
2380,yuyay paktay,unidad de criterio
2381,yuyay rurayri,problemas razonados.
2382,yuyaychipukllay,rompecabezas
2383,yuyaynikik,software
2384,yuyaynina,opinar
2385,yuyaypaktana,concertar.
2386,yuyayrikuchik,determinación o definición
2387,yuyayrina,concentrar
2388,yuyayrina (w),concentrar (mental
2389,yuyu / panra,nabo
2390,zampu,"sambo, calabaza"
2391,zirmaputulli,"bateria, pila"
2392,ñachu,"ya está, ya es"
2393,ñakariy,pasión de placer
2394,ñankamu,guía
2395,ñankamu (w),guía didáctica
2396,ñapash shamuna pacha,futuro inmediato
2397,ñawchina,"auxiliar, cooperar, influenciar, contribuir"
2398,"ñawchina, yanapana",auxiliar
2399,ñawi,"cara, rostro"
2400,ñawi chakata,glándula pineal
2401,ñawi chichu,mejilla
2402,ñawi lulun,ojo
2403,ñawi millma,pestaña
2404,ñawi pata millma,ceja
2405,"ñawirina, killkakatina",leer.
2406,"ñawirina, killkakatina (taller b)",leer
2407,ñawpa,delante (tiempo):
2408,ñawpa kawsay pacha,eras antiguas
2409,ñawpa pachak-watakuna,largos siglos
2410,ñawpa uma tullu,hueso frontal del cráneo
2411,ñawpak,principales
2412,ñawpakawsay imarikuchi kunakamay,vestigios arqueológicos
2413,ñawpakawsayimarikuchi kunakamay,vestigios arqueológicos
2414,ñawpana,adelantar
2415,ñawpanchina,promover.
2416,ñawpanchina (w),promover
2417,ñawpapacha,paleolítico
2418,ñawparimay,"mito, cuento, leyenda"
2419,ñaña,hermana (entre hermanas
